CO2,PM10,PM25,NO,NO2,O3,SO2,AQI
575.0,15.4,10.4,56.33,40.1,8.4,91.55,2.0
575.0,15.4,10.4,56.33,40.1,8.4,91.55,2.0
501.0,15.6,9.7,56.33,40.1,8.4,91.55,2.0
501.0,15.6,9.7,56.33,40.1,8.4,91.55,2.0
513.0,12.2,9.0,56.33,40.1,8.4,91.55,2.0
513.0,12.2,9.0,56.33,40.1,8.4,91.55,2.0
500.0,12.9,9.0,56.33,40.1,8.4,91.55,2.0
500.0,12.9,9.0,56.33,40.1,8.4,91.55,2.0
492.0,14.1,8.5,56.33,40.1,8.4,91.55,2.0
492.0,14.1,8.5,56.33,40.1,8.4,91.55,2.0
422.0,12.2,8.8,56.33,40.1,8.4,91.55,1.0
455.0,14.1,8.6,56.33,40.1,8.4,91.55,1.0
438.0,11.0,8.0,56.33,40.1,8.4,91.55,1.0
438.0,11.0,8.0,56.33,40.1,8.4,91.55,1.0
556.0,13.7,8.2,56.33,40.1,8.4,91.55,2.0
556.0,13.7,8.2,56.33,40.1,8.4,91.55,2.0
506.0,12.1,8.1,56.33,40.1,8.4,91.55,2.0
506.0,12.1,8.1,56.33,40.1,8.4,91.55,2.0
450.0,12.3,8.9,56.33,40.1,8.4,91.55,1.0
496.0,16.6,8.5,56.33,40.1,8.4,91.55,2.0
496.0,16.6,8.5,56.33,40.1,8.4,91.55,2.0
410.0,18.4,9.1,56.33,40.1,8.4,91.55,1.0
410.0,18.4,9.1,56.33,40.1,8.4,91.55,1.0
501.0,15.5,7.9,56.33,40.1,8.4,91.55,2.0
501.0,15.5,7.9,56.33,40.1,8.4,91.55,2.0
468.0,12.7,8.7,56.33,40.1,8.4,91.55,1.0
472.0,13.5,7.8,56.33,40.1,8.4,91.55,1.0
512.0,12.3,8.9,56.33,40.1,8.4,91.55,2.0
602.0,14.0,8.4,56.33,40.1,8.4,91.55,2.0
518.0,14.1,8.8,56.33,40.1,8.4,91.55,2.0
549.0,12.3,8.2,56.33,40.1,8.4,91.55,2.0
507.0,13.0,8.5,56.33,40.1,8.4,91.55,2.0
477.0,12.8,8.5,56.33,40.1,8.4,91.55,1.0
475.0,17.1,8.2,56.33,40.1,8.4,91.55,2.0
400.0,14.7,7.3,56.33,40.1,8.4,91.55,1.0
400.0,14.7,7.3,56.33,40.1,8.4,91.55,1.0
428.0,16.2,8.7,47.83,51.41,19.49,94.41,1.0
428.0,16.2,8.7,47.83,51.41,19.49,94.41,1.0
439.0,15.9,9.4,47.83,51.41,19.49,94.41,1.0
439.0,15.9,9.4,47.83,51.41,19.49,94.41,1.0
529.0,17.6,8.3,47.83,51.41,19.49,94.41,2.0
524.0,11.7,6.6,47.83,51.41,19.49,94.41,2.0
524.0,11.7,6.6,47.83,51.41,19.49,94.41,2.0
791.0,11.8,7.6,47.83,51.41,19.49,94.41,3.0
783.0,22.8,9.7,47.83,51.41,19.49,94.41,3.0
428.0,24.4,20.6,62.59,37.7,0.0,58.17,1.0
421.0,24.5,20.6,62.59,37.7,0.0,58.17,1.0
421.0,24.5,20.6,62.59,37.7,0.0,58.17,1.0
438.0,24.9,20.6,62.59,37.7,0.0,58.17,1.0
